1          42          43         2         
2          43          44         3         
3          44          45         4         
4          45          46         5         
5          46          47         6         
6          47          48         7         
7          48          49         8         
8          49          50         9         
9          50          51         10        
10         51          52         11        
11         52          53         12        
12         53          54         13        
13         54          55         14        
14         55          56         15        
15         56          57         16        
16         57          58         17        
17         58          59         18        
18         59          60         19        
19         60          61         20        
20         61          62         21        
21         62          63         22        
22         63          64         23        
23         64          65         24        
24         65          66         25        
25         66          67         26        
26         67          68         27        
27         68          69         28        
28         69          70         29        
29         70          71         30        
30         71          72         31        
31         72          73         32        
32         73          74         33        
33         74          75         34        
34         75          76         35        
35         76          77         36        
36         77          78         37        
37         78          79         38        
38         79          80         39        
39         80          81         40        
40         81          82         41        
42         83          84         43        
43         84          85         44        
44         85          86         45        
45         86          87         46        
46         87          88         47        
47         88          89         48        
48         89          90         49        
49         90          91         50        
50         91          92         51        
51         92          93         52        
52         93          94         53        
53         94          95         54        
54         95          96         55        
55         96          97         56        
56         97          98         57        
57         98          99         58        
58         99          100        59        
59         100         101        60        
60         101         102        61        
61         102         103        62        
62         103         104        63        
63         104         105        64        
64         105         106        65        
65         106         107        66        
66         107         108        67        
67         108         109        68        
68         109         110        69        
69         110         111        70        
70         111         112        71        
71         112         113        72        
72         113         114        73        
73         114         115        74        
74         115         116        75        
75         116         117        76        
76         117         118        77        
77         118         119        78        
78         119         120        79        
79         120         121        80        
80         121         122        81        
81         122         123        82        
83         124         125        84        
84         125         126        85        
85         126         127        86        
86         127         128        87        
87         128         129        88        
88         129         130        89        
89         130         131        90        
90         131         132        91        
91         132         133        92        
92         133         134        93        
93         134         135        94        
94         135         136        95        
95         136         137        96        
96         137         138        97        
97         138         139        98        
98         139         140        99        
99         140         141        100       
100        141         142        101       
101        142         143        102       
102        143         144        103       
103        144         145        104       
104        145         146        105       
105        146         147        106       
106        147         148        107       
107        148         149        108       
108        149         150        109       
109        150         151        110       
110        151         152        111       
111        152         153        112       
112        153         154        113       
113        154         155        114       
114        155         156        115       
115        156         157        116       
116        157         158        117       
117        158         159        118       
118        159         160        119       
119        160         161        120       
120        161         162        121       
121        162         163        122       
122        163         164        123       
124        165         166        125       
125        166         167        126       
126        167         168        127       
127        168         169        128       
128        169         170        129       
129        170         171        130       
130        171         172        131       
131        172         173        132       
132        173         174        133       
133        174         175        134       
134        175         176        135       
135        176         177        136       
136        177         178        137       
137        178         179        138       
138        179         180        139       
139        180         181        140       
140        181         182        141       
141        182         183        142       
142        183         184        143       
143        184         185        144       
144        185         186        145       
145        186         187        146       
146        187         188        147       
147        188         189        148       
148        189         190        149       
149        190         191        150       
150        191         192        151       
151        192         193        152       
152        193         194        153       
153        194         195        154       
154        195         196        155       
155        196         197        156       
156        197         198        157       
157        198         199        158       
158        199         200        159       
159        200         201        160       
160        201         202        161       
161        202         203        162       
162        203         204        163       
163        204         205        164       
165        206         207        166       
166        207         208        167       
167        208         209        168       
168        209         210        169       
169        210         211        170       
170        211         212        171       
171        212         213        172       
172        213         214        173       
173        214         215        174       
174        215         216        175       
175        216         217        176       
176        217         218        177       
177        218         219        178       
178        219         220        179       
179        220         221        180       
